id,code_revision,dataset_version,dataset_date,run_date,initial_state_environment,action,expected,actual,status,duration,evidence
BOOT,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"Docker, чистый volume",up --build,"healthy, миграции, seed",healthy; 0002 head,пройден,не измерено,evidence/startup.log
DATA,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,PostgreSQL после повторного запуска,count пяти сущностей,200/40/60/32/2743,200/40/60/32/2743,пройден,не измерено,evidence/database-counts.txt
PROFILE,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"browser, E0043; дата 15 октября",открыть профиль/навыки,"факт и расчёт отдельно, все требования, история","роль Senior; история 18; расчёт отсутствует, 8 навыков",не пройден,см. 20 повторов,evidence/browser-profile.txt
ACCESS,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"HTTP, исходный набор",15 проверок foundation.py,"свой профиль 200, чужой 403, аноним 401; новая сессия",15/15 совпадений,пройден,по каждой проверке,evidence/http.jsonl
PERSIST,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,дата изменена на 2026-10-15,restart; up --wait; health,"сохранённая дата, миграция head",2026-10-15; 0002 head,пройден,не измерено,evidence/restart.log
UI-BASE,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,browser 1280x720; исходный набор; один разогрев,20 открытий профиля и 20 выходов,каждый <=2000 мс,40/40; 257–280 мс,пройден,все 40 значений,evidence/browser-timings.json
RELOAD,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,browser после restart,reload до заголовка,отдельно записать длительность,141 мс; кэш браузера не очищен,пройден,141 мс,evidence/browser-restart.json
IMPORT,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,три новых профиля; отсутствует в main,preview/commit/repeat/bad event/changed employee/reset/reimport,"атомарность, идемпотентность, пересчёт, восстановление",не выполнялось: нет реализации импорта,не проверен,не измерено,report.md
AI-LIVE,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,три новых профиля без кэша; отсутствует в main,"живой запрос, конфликт EV_033/EV_036",1–3 допустимых разных активности; >=3 фактора; модель/правила/ID; <=10 с,не выполнялось: нет AI,не проверен,не измерено,report.md
AI-FAULT,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,провайдер отключён/задержан,вызвать сбой и задержку,"явный резерв, полный ответ <=10 с; время клиента отдельно",не выполнялось: нет AI,не проверен,не измерено,report.md
LEARNING,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,исходная оценка; история,"E0050/EV_006, дубли, planned, self-paced без completed_at","max(current,min(current+gain,max_level)) <=5; 5 не снижается; record_id один раз",не выполнялось: нет учебного расчёта,не проверен,не измерено,report.md
ROUTE,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,null goal / Lead / другая целевая роль,раскрыть требования и прогноз,предварительный ориентир без записи цели; нет выдуманного грейда; факт отдельно,не выполнялся полный сценарий маршрута,не проверен,не измерено,report.md
ALIBEK,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"E0174, исходный демо-слой",EV_032; 3 договора/2 доказательства; возврат; тот же ID; 3-е доказательство; подтверждение дважды,навык 2→3/оценка 2; 0/2→3/2; J60→120; ОТК70→100; год81.25→88.75,не выполнялось: нет рабочего демо-слоя,не проверен,не измерено,report.md
CROSS-ROLE,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"E0169, руководитель/HR",после подтверждения и после restart обновить экраны,7/10→10/10; J91→100; ОТК85.5→90; общая ревизия; без удвоения,не выполнялось: нет четырёх ролевых экранов,не проверен,не измерено,report.md
HR,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,исходный и импортированный набор,прочитать HR до/после курса и импорта,"дефициты, минимальный именной список без шага, участие",не выполнялось: нет HR,не проверен,не измерено,report.md
ROLE-RIGHTS,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,4 роли и чужие сессии,"чужой URL/API, назначение аналитика, прямой руководитель; 3 согласия/отзыв; HR; малая группа",отказы вне охвата; независимые согласия; обезличивание <5; HR без истории/доказательств,не выполнялась полная матрица; ACCESS покрывает только foundation,не проверен,не измерено,report.md
WEBVIEW,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,настоящий Android и тот же сервер,"маршрут, клавиатура, Back/Close, expiry/renewal, ссылка, поворот, offline",экран/лог + устройство/Android/WebView; общие данные после restart,не выполнялось: нет Android оболочки в проверенном commit; adb не найден,не проверен,не измерено,report.md
UI-IMPORTED,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,"browser после импорта, разогрев",>=20 повторов каждого основного действия,осмысленный результат <=2 с,не выполнялось: нет импорта,не проверен,не измерено,report.md
UI-WEBVIEW,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,WebView; исходный и импортированный набор; разогрев,>=20 повторов каждого основного действия на обоих наборах,осмысленный результат <=2 с,не выполнялось: нет WebView,не проверен,не измерено,report.md
DOMAIN-TESTS,3c98153199486dba5b4cde2f1dba9c04b05a13a5,1.0,2026-10-01,2026-09-23,чистый экспорт,unittest discover -v; inventory; typecheck inventory,выполнены проверки расчётов/доступа/импорта и typecheck,0 tests; typecheck не настроен; только отдельный HTTP smoke,не проверен,0.000 с discovery,evidence/unit-tests.log
